"_id","_labels","name","nominal_voltage","type","_start","_end","_type","name","nominal_voltage","number_kvl","number_lr","number_vl"
,,,,,"48","49","CONNECTION_LR","","","","39",""
,,,,,"49","37","CON_PS_LR","","","","",""
,,,,,"50","37","CON_PS_CRP","","","","",""
,,,,,"51","50","CON_CRP","","","","",""
,,,,,"52","50","CON_CRP","","","","",""
,,,,,"53","50","CON_CRP","","","","",""
,,,,,"54","50","CON_CRP","","","","",""
,,,,,"55","50","CON_CRP","","","","",""
,,,,,"57","58","CONNECTION_LR","","","","74",""
,,,,,"56","58","CONNECTION_LR","","","","74",""
,,,,,"58","50","CON_CRP","[""VL""]","10","","","9"
,,,,,"61","60","CON_BETWEEN_LR","","","","",""
,,,,,"59","37","CONNECTION_PS","","","","",""
,,,,,"60","37","CON_PS_LR","","","","",""
,,,,,"62","61","CONNECTION_LR","[""KVL""]","10","14","",""
,,,,,"63","61","CON_LR_NTR","","","","",""
,,,,,"63","41","CON_LR_NTR","","","","",""
,,,,,"65","61","CON_BETWEEN_LR","[""KVL""]","10","14","",""
,,,,,"64","61","CON_BETWEEN_LR","[""KVL""]","10","14","",""
,,,,,"66","64","CONNECTION_LR","[""KVL""]","10","14","",""
,,,,,"67","65","CONNECTION_LR","[""KVL""]","10","14","",""
